employment_type,work_mode,experience_level,job_category,exp_years,city,country,skills_count,top_skill,second_skill
Full Time,On-site,Entry Level,Accounting/Finance,1.0,Cairo,Egypt,4,Accounting,Finance
Internship,On-site,Student,Installation/Maintenance/Repair,,Cairo,Egypt,7,Computer Science,Engineering
Internship,On-site,Student,Accounting/Finance,,Cairo,Egypt,8,Accounting,Administration
Internship,On-site,Student,Administration,,Cairo,Egypt,8,Administration,Business Administration
Full Time,On-site,Manager,Engineering - Construction/Civil/Architecture,7.5,Benghazi,Libya,8,Civil Engineering,Construction
Full Time,On-site,Experienced,Creative/Design/Art,5.0,Cairo,Egypt,7,Marketing,Social Media
Full Time,On-site,Entry Level,Engineering - Construction/Civil/Architecture,1.0,Cairo,Egypt,6,BIM,Electrical Engineering
Full Time,On-site,Experienced,Marketing/PR/Advertising,3.0,Sharqia,Egypt,3,Marketing,Project Coordination
Full Time,On-site,Entry Level,Engineering - Construction/Civil/Architecture,3.0,Cairo,Egypt,8,Computer Science,Engineering
Full Time,On-site,Entry Level,IT/Software Development,1.5,Giza,Egypt,7,STEM,Arduino
Full Time,Remote,Experienced,Operations/Management,1.5,Cairo,Egypt,3,Administration,Customer Service
Full Time,On-site,Entry Level,Customer Service/Support,,Cairo,Egypt,8,Customer Service,Customer Support
Full Time,On-site,Manager,Banking,7.5,Dubai,United Arab Emirates,8,Information Technology (IT),ETHIX
Full Time,On-site,Experienced,Sales/Retail,5.0,Cairo,Egypt,8,Real Estate Sales,Real Estate
Full Time,On-site,Entry Level,Administration,1.0,Alexandria,Egypt,3,Administration,Microsoft Office
Full Time,Remote,Senior Management,Accounting/Finance,6.0,Cairo,Egypt,4,Accounting,Public Relations (PR)
Full Time,On-site,Experienced,Human Resources,5.0,Giza,Egypt,4,Performance Management,Training Needs Analysis
Full Time,On-site,Entry Level,Sales/Retail,2.5,Cairo,Egypt,7,Sales,Sales Target
Full Time,On-site,Experienced,Creative/Design/Art,3.0,Sharqia,Egypt,5,Marketing,Social Media
Part Time,Remote,Experienced,IT/Software Development,5.0,Riyadh,Saudi Arabia,3,Software Development,Computer Science
Full Time,On-site,Entry Level,Customer Service/Support,1.0,Giza,Egypt,8,Sales,Sales Target
Full Time,On-site,Experienced,Engineering - Construction/Civil/Architecture,6.0,Giza,Egypt,8,Architecture,Civil Engineering
Full Time,On-site,Manager,Business Development,6.0,Giza,Egypt,5,Management,Leadership
Full Time,Remote,Experienced,Sales/Retail,5.0,Cairo,Egypt,8,English Language (fluent),Phone Sales / Telesales
Full Time,On-site,Experienced,Installation/Maintenance/Repair,3.5,Cairo,Egypt,8,Engineering,Light Current Systems
Part Time,Hybrid,Manager,Sales/Retail,8.0,Giza,Egypt,8,Sales,Corporate Sales
Full Time,Hybrid,Experienced,Marketing/PR/Advertising,5.0,Giza,Egypt,8,Talent management,Influencer Relations
Full Time,On-site,Entry Level,Administration,2.0,Cairo,Egypt,2,Human Resources,Human Resources (HR)
Full Time,On-site,Experienced,Human Resources,5.0,Cairo,Egypt,3,Recruitment,Personnel
Full Time,On-site,Manager,Logistics/Supply Chain,7.5,Cairo,Egypt,4,Warehouse Operations,Stock Control
Full Time,On-site,Entry Level,Customer Service/Support,2.5,Cairo,Egypt,4,Call Center,Customer Service
Full Time,On-site,Experienced,Quality,3.0,Suez,Egypt,8,Microsoft Office,Quality Assurance
Full Time,On-site,Entry Level,IT/Software Development,2.0,Alexandria,Egypt,4,System Administration,Information Technology (IT)
Full Time,Hybrid,Experienced,Business Development,4.0,Cairo,Egypt,2,Sales,Sales Target
Full Time,On-site,Experienced,IT/Software Development,2.5,Cairo,Egypt,8,Network,Network Administration
Internship,Hybrid,Student,Creative/Design/Art,,Giza,Egypt,4,Computer Science,JavaScript
Internship,Remote,Student,IT/Software Development,0.5,Giza,Egypt,6,Computer Science,back-end
Full Time,On-site,Experienced,Engineering - Construction/Civil/Architecture,5.0,Cairo,Egypt,8,Technical Office,Revit
Full Time,On-site,Experienced,Logistics/Supply Chain,5.0,Giza,Egypt,7,Export Sales Executive,Export Operations
Full Time,On-site,Experienced,Business Development,3.5,Cairo,Egypt,8,Business Development,Sales
Full Time,On-site,Experienced,Engineering - Construction/Civil/Architecture,4.5,Giza,Egypt,7,AutoCAD,Technical Office
Full Time,On-site,Entry Level,Accounting/Finance,1.5,Cairo,Egypt,4,Accounting,Accounts Payable
Full Time,On-site,Manager,Human Resources,7.5,Cairo,Egypt,8,Human Resources (HR),Business Administration
Full Time,On-site,Entry Level,Accounting/Finance,1.5,Cairo,Egypt,3,Cost Accounting,Accounting
Full Time,On-site,Experienced,Sales/Retail,5.0,Cairo,Egypt,8,Customer Service,Sales Target Achievement
Full Time,On-site,Experienced,Human Resources,1.5,Giza,Egypt,6,Human Resources (HR),Communication
Full Time,On-site,Experienced,Human Resources,5.0,Cairo,Egypt,7,Human Resources (HR),Management
Full Time,On-site,Experienced,Tourism/Travel,4.5,Giza,Egypt,2,Travel,Tourism
Full Time,On-site,Experienced,Engineering - Construction/Civil/Architecture,5.0,Giza,Egypt,6,Architecture,Civil
Full Time,On-site,Experienced,Accounting/Finance,4.5,Giza,Egypt,2,Accounting,Finance
Full Time,On-site,Experienced,Human Resources,5.5,Cairo,Egypt,8,Human Resources,Human Resources (HR)
Full Time,On-site,Entry Level,Customer Service/Support,1.5,Cairo,Egypt,3,Fast Typing,Customer Support
Full Time,On-site,Experienced,Accounting/Finance,3.0,Cairo,Egypt,8,accountant,Accounting
Full Time,On-site,Entry Level,Sales/Retail,1.5,Cairo,Egypt,8,Engineering,Sales
Full Time,On-site,Experienced,Marketing/PR/Advertising,5.0,Cairo,Egypt,3,Adobe Photoshop,Adobe Premiere
Full Time,On-site,Manager,Accounting/Finance,12.5,Cairo,Egypt,2,Risk Management,Financial Analysis
Full Time,On-site,Manager,Operations/Management,6.0,Cairo,Egypt,7,Production,Medical
Full Time,On-site,Manager,Administration,7.0,Cairo,Egypt,6,Administration,Microsoft Office
Full Time,On-site,Experienced,Marketing/PR/Advertising,5.0,Cairo,Egypt,8,Digital Marketing,E-Marketing
Full Time,On-site,Manager,Operations/Management,12.5,Cairo,Egypt,8,Management,Production
Full Time,Hybrid,Entry Level,Customer Service/Support,1.5,Cairo,Egypt,7,Customer Care,Customer Service
Full Time,On-site,Experienced,Sales/Retail,5.0,Cairo,Egypt,7,Customer Service,Sales Target
Full Time,On-site,Experienced,Accounting/Finance,5.0,Alexandria,Egypt,3,Accounting,Finance
Full Time,On-site,Experienced,Engineering - Construction/Civil/Architecture,4.0,Cairo,Egypt,2,Project Management,Engineering
Full Time,On-site,Experienced,Customer Service/Support,5.0,Cairo,Egypt,7,Marketing,Sales
Full Time,On-site,Entry Level,Customer Service/Support,1.0,Cairo,Egypt,4,Call Center,Customer Care
Full Time,On-site,Manager,Engineering - Construction/Civil/Architecture,7.5,Kafr Alsheikh,Egypt,3,Construction,Civil Engineering
Full Time,Hybrid,Experienced,Business Development,1.0,Cairo,Egypt,3,sales development,Business Development
Full Time,On-site,Manager,Marketing/PR/Advertising,8.0,Cairo,Egypt,8,Administration,Advertising
Full Time,On-site,Entry Level,Administration,2.0,Cairo,Egypt,8,Internal Communication,Event Planning
Full Time,On-site,Experienced,IT/Software Development,5.0,Cairo,Egypt,3,Information Technology (IT),Computer Science
Full Time,On-site,Experienced,Accounting/Finance,3.0,Cairo,Egypt,5,Human Resources,Human Resources (HR)
Full Time,On-site,Experienced,Purchasing/Procurement,3.0,Giza,Egypt,3,Procurement,Purchasing
Full Time,On-site,Entry Level,Sales/Retail,3.0,Cairo,Egypt,6,Communication,Sales
Internship,On-site,Student,Engineering - Construction/Civil/Architecture,0.5,Cairo,Egypt,8,AutoCAD,Civil Engineering
Full Time,On-site,Entry Level,Administration,1.0,Cairo,Egypt,7,Logistics,Shipping
Full Time,On-site,Experienced,Quality,5.0,Cairo,Egypt,3,Quality Assurance,Engineering
Full Time,On-site,Experienced,Operations/Management,3.0,Cairo,Egypt,8,Engineering,Management
Full Time,On-site,Experienced,Hospitality/Hotels/Food Services,5.0,Cairo,Egypt,2,"Hotel, Restaurant, Cafe",Hospitality
Full Time,On-site,Experienced,Sales/Retail,6.0,Cairo,Egypt,4,Sales,Engineering
Full Time,On-site,Experienced,Accounting/Finance,4.0,Alexandria,Egypt,4,Accounting,Finance
Full Time,Remote,Experienced,IT/Software Development,7.5,Cairo,Egypt,5,JavaScript,React js
Full Time,On-site,Experienced,Purchasing/Procurement,3.0,Alexandria,Egypt,8,Purchasing,Supply Chain
Internship,On-site,Student,Administration,,Giza,Egypt,5,Administration,Microsoft Office
Full Time,On-site,Experienced,Creative/Design/Art,5.0,Giza,Egypt,5,Adobe illustrator,Adobe Photoshop
Full Time,Hybrid,Entry Level,Business Development,1.5,Cairo,Egypt,7,Market Research,Marketing
Full Time,On-site,Experienced,Logistics/Supply Chain,3.5,Giza,Egypt,4,Foreign Procurement,Procurement
Full Time,On-site,Experienced,Creative/Design/Art,5.0,Giza,Egypt,7,Senior Packaging & Brand Designer,Adobe illustrator
Full Time,On-site,Experienced,Customer Service/Support,8.5,Giza,Egypt,7,Admissions,Student Recruitment
Full Time,On-site,Experienced,Accounting/Finance,2.0,Giza,Egypt,8,Accounting,Finance
Full Time,On-site,Experienced,Logistics/Supply Chain,11.0,Giza,Egypt,4,Foreign Purchasing,Purchasing
Full Time,On-site,Entry Level,Administration,2.0,Giza,Egypt,7,Administration,Communication skills
Full Time,On-site,Entry Level,Customer Service/Support,1.5,Cairo,Egypt,6,Customer Care,Customer Service
Full Time,On-site,Entry Level,Accounting/Finance,2.0,Monufya,Egypt,3,Accounting,Accounting Software
Full Time,On-site,Experienced,Accounting/Finance,1.5,Giza,Egypt,7,Treasury Accountant,accountant
Full Time,On-site,Experienced,Engineering - Construction/Civil/Architecture,5.5,Cairo,Egypt,8,AutoCAD,Engineering Design
Full Time,On-site,Entry Level,Administration,1.0,Cairo,Egypt,3,Communication,Customer Care
Full Time,On-site,Experienced,IT/Software Development,5.0,Cairo,Egypt,8,Technical troubleshooting,Windows and Mac OS support
Full Time,On-site,Senior Management,Operations/Management,12.5,Cairo,Egypt,4,Export,Customer Service
Full Time,On-site,Manager,Logistics/Supply Chain,6.5,Sharqia,Egypt,4,Planning,Production
Full Time,On-site,Experienced,Accounting/Finance,3.0,Cairo,Egypt,4,Accounting,Finance
Full Time,Remote,Experienced,Marketing/PR/Advertising,5.5,Cairo,Egypt,2,Media Buyer,App Flyer
Full Time,On-site,Experienced,Marketing/PR/Advertising,2.0,Cairo,Egypt,5,Marketing,Social Media
Full Time,On-site,Manager,Engineering - Construction/Civil/Architecture,6.0,Giza,Egypt,8,Architecture,AutoCAD
Full Time,On-site,Manager,Engineering - Construction/Civil/Architecture,6.0,Cairo,Egypt,7,Engineering,Project
Full Time,On-site,Senior Management,Logistics/Supply Chain,8.5,Sharqia,Egypt,8,Engineering,Logistics
Full Time,On-site,Entry Level,Customer Service/Support,,Cairo,Egypt,8,Customer Care,Customer Service
Full Time,On-site,Experienced,Engineering - Construction/Civil/Architecture,14.5,Giza,Egypt,8,Engineering,Technical Office
Full Time,On-site,Manager,Installation/Maintenance/Repair,7.5,Cairo,Egypt,6,Maintenance,Mechanical Engineering
Full Time,On-site,Manager,Hospitality/Hotels/Food Services,4.0,Giza,Egypt,6,Communication,Management
Full Time,Remote,Manager,Sales/Retail,6.5,Giza,Egypt,3,Sales,Account Management
Full Time,On-site,Manager,Administration,7.5,Cairo,Egypt,7,Communication,Human Resource Management (HRM)
Full Time,On-site,Experienced,Engineering - Mechanical/Electrical,5.0,Sharqia,Egypt,8,Engineering,Automation
Full Time,On-site,Entry Level,Customer Service/Support,1.5,Cairo,Egypt,8,Customer Service,Communication
Full Time,On-site,Experienced,Business Development,5.0,Cairo,Egypt,7,Export,Export Sales
Full Time,On-site,Experienced,Administration,8.0,Alexandria,Egypt,3,Administration,Construction
Full Time,On-site,Experienced,Engineering - Other,12.5,Cairo,Egypt,8,Construction Management,Architectural Engineering
Full Time,On-site,Manager,Logistics/Supply Chain,6.0,Cairo,Egypt,7,Logistics,Supply Chain
Full Time,On-site,Entry Level,Accounting/Finance,1.5,Cairo,Egypt,3,Accounting,Accounts Payable
Full Time,On-site,Entry Level,Accounting/Finance,2.0,Cairo,Egypt,8,Cashier,Microsoft Office
Full Time,On-site,Experienced,IT/Software Development,2.5,Cairo,Egypt,3,Computer Science,Information Technology (IT)
Part Time,Remote,Experienced,Business Development,5.0,Cairo,Egypt,3,Sales,Marketing
Full Time,On-site,Experienced,IT/Software Development,6.5,Giza,Egypt,8,Oracle Apps DBA,Oracle Applications DBA
Full Time,On-site,Experienced,Accounting/Finance,3.5,Red Sea,Egypt,8,Accounting,Financial Management
Full Time,On-site,Experienced,IT/Software Development,4.0,Giza,Egypt,8,System Administrator,Network Administrator
Full Time,On-site,Experienced,Installation/Maintenance/Repair,4.0,Monufya,Egypt,8,Mechanical Engineering,mechanical power engineering
Full Time,On-site,Experienced,Marketing/PR/Advertising,8.0,Cairo,Egypt,7,Marketing,Public Relations (PR)
Full Time,On-site,Experienced,Administration,,Cairo,Egypt,4,Administration,Admin Work
Full Time,On-site,Experienced,Business Development,5.0,Cairo,Egypt,5,Brand Management,Brand Development
Full Time,On-site,Experienced,Engineering - Mechanical/Electrical,5.0,Cairo,Egypt,4,Engineering,Mechanical Engineering
Internship,Remote,Entry Level,Creative/Design/Art,0.5,Manama,Bahrain,7,Social Media,canva
Full Time,On-site,Manager,Administration,7.5,Cairo,Egypt,2,Administration,Management
Full Time,Remote,Senior Management,IT/Software Development,6.5,Cairo,Egypt,6,Digital Marketing,Search Engine
Full Time,On-site,Entry Level,Business Development,1.0,Cairo,Egypt,3,Business Development,Sales
Full Time,On-site,Manager,Marketing/PR/Advertising,9.0,Giza,Egypt,3,Market Research,Marketing
Full Time,On-site,Entry Level,Marketing/PR/Advertising,2.0,Cairo,Egypt,5,Marketing,Sales
Full Time,Hybrid,Experienced,Administration,5.0,Cairo,Egypt,7,Microsoft Office,Follow Up
Full Time,On-site,Entry Level,Pharmaceutical,0.5,Cairo,Egypt,8,Pharmacy,Pharmaceutical
Full Time,On-site,Experienced,Medical/Healthcare,5.0,Cairo,Egypt,5,Infection Control,Communication
Full Time,On-site,Manager,Installation/Maintenance/Repair,12.5,Cairo,Egypt,7,Engineering,Maintenance
Full Time,On-site,Experienced,Accounting/Finance,1.0,Giza,Egypt,4,Accounting,Commerce
Full Time,On-site,Experienced,Sales/Retail,5.0,Cairo,Egypt,4,Tendering,electricity
Full Time,On-site,Experienced,Engineering - Construction/Civil/Architecture,6.5,Cairo,Egypt,8,Civil Engineering,Engineering
Full Time,On-site,Entry Level,Operations/Management,1.0,Cairo,Egypt,8,Unknown,Sales Target
Full Time,Hybrid,Experienced,IT/Software Development,4.5,Cairo,Egypt,7,QC,Automation
Full Time,On-site,Experienced,Engineering - Construction/Civil/Architecture,5.0,Cairo,Egypt,7,Construction,Sales
Full Time,On-site,Experienced,Marketing/PR/Advertising,4.0,Cairo,Egypt,8,Digital Marketing,Social Media
Full Time,On-site,Manager,Administration,7.5,Cairo,Egypt,3,Administration,Office management
Full Time,On-site,Experienced,Administration,4.0,Cairo,Egypt,5,Administration,Office management
Full Time,On-site,Experienced,Engineering - Oil & Gas/Energy,3.5,Alexandria,Egypt,8,Maintenance,Mechanical Engineering
Full Time,On-site,Experienced,Logistics/Supply Chain,3.5,Giza,Egypt,7,Supply Chain,Logistics
Full Time,On-site,Experienced,Engineering - Construction/Civil/Architecture,4.0,Giza,Egypt,4,Talent acquisition,Recruitment
Full Time,Remote,Entry Level,Business Development,1.5,Cairo,Egypt,8,Sales,Customer Service
Full Time,On-site,Experienced,Accounting/Finance,2.0,Giza,Egypt,8,Financial Auditor,Certified Internal Auditor (CIA)
Full Time,On-site,Experienced,Business Development,4.0,Giza,Egypt,7,Business Development,Sales
Full Time,On-site,Entry Level,Customer Service/Support,1.5,Gharbia,Egypt,8,Sales,Telesales
Full Time,On-site,Experienced,Accounting/Finance,6.0,Gharbia,Egypt,8,Accounting,Finance
Full Time,On-site,Manager,Sales/Retail,15.0,Cairo,Egypt,8,Sales,Communication
Full Time,On-site,Experienced,Engineering - Construction/Civil/Architecture,4.0,Cairo,Egypt,3,Technical Office Management,Construction Engineering
Full Time,On-site,Manager,Operations/Management,6.5,Cairo,Egypt,8,Customer Relations,Sales Target
Internship,On-site,Entry Level,Accounting/Finance,,Giza,Egypt,7,Accounting,AP
Full Time,On-site,Entry Level,Installation/Maintenance/Repair,1.5,Cairo,Egypt,7,Maintenance,Engineering
Full Time,On-site,Entry Level,Human Resources,2.0,Cairo,Egypt,8,Business Administration,Communication
Full Time,On-site,Experienced,Human Resources,5.0,Cairo,Egypt,4,Human Resources (HR),Talent acquisition
Full Time,On-site,Entry Level,Administration,4.0,Giza,Egypt,8,Administration,Communication
Full Time,On-site,Entry Level,Writing/Editorial,1.5,Cairo,Egypt,6,Marketing,Social Media
Full Time,Hybrid,Experienced,Sales/Retail,5.0,Cairo,Egypt,8,Customer Service,Sales
Full Time,Hybrid,Senior Management,Business Development,14.0,Cairo,Egypt,8,CRM,Marketing
Full Time,On-site,Experienced,Hospitality/Hotels/Food Services,2.0,Cairo,Egypt,7,Admin,Administration
Full Time,On-site,Experienced,Engineering - Mechanical/Electrical,5.0,Matruh,Egypt,8,Safety,Electrical Engineering
Full Time,On-site,Experienced,Administration,2.5,Alexandria,Egypt,8,Fleet Management,Logistics Operations
Full Time,On-site,Entry Level,Engineering - Mechanical/Electrical,2.5,Alexandria,Egypt,3,AutoCAD,Microsoft Excel
Full Time,Remote,Entry Level,Engineering - Construction/Civil/Architecture,3.5,New York City,United States,8,Cost Estimates,Engineering
Full Time,On-site,Experienced,Engineering - Mechanical/Electrical,14.0,Cairo,Egypt,5,mechanical,Engineers
Full Time,On-site,Manager,Accounting/Finance,17.5,Alexandria,Egypt,8,Accounting,Finance
Full Time,On-site,Experienced,Customer Service/Support,5.0,Cairo,Egypt,8,Property,Real Estate
Full Time,On-site,Manager,Administration,7.5,Cairo,Egypt,7,Branch Management,Customer Service
Full Time,On-site,Manager,Sales/Retail,5.5,Cairo,Egypt,8,Sales,Sales Target
Full Time,On-site,Manager,Administration,7.5,Cairo,Egypt,5,Human Resources (HR),Recruitment
Full Time,Hybrid,Experienced,Creative/Design/Art,3.0,Giza,Egypt,2,Interior Design,Interior Finishing
Full Time,On-site,Experienced,Accounting/Finance,1.0,Alexandria,Egypt,6,Warehousing,Supply Chain
Full Time,Remote,Experienced,Writing/Editorial,5.0,Dubai,United Arab Emirates,7,SEO,Copywriting
Full Time,Remote,Experienced,Creative/Design/Art,4.5,Cairo,Egypt,6,Adobe Premiere,After Effects
Full Time,Hybrid,Entry Level,Customer Service/Support,1.5,Alexandria,Egypt,8,Call Center,Customer Service
Full Time,On-site,Entry Level,Customer Service/Support,1.5,Cairo,Egypt,3,Customer Care,Customer Support
Full Time,On-site,Experienced,Engineering - Construction/Civil/Architecture,6.0,South Sinai,Egypt,8,Civil,Construction
Full Time,On-site,Experienced,Business Development,3.0,Cairo,Egypt,7,Business Administration,Customer Service
Full Time,On-site,Experienced,Customer Service/Support,2.0,South Sinai,Egypt,8,Customer Service,CRM
Full Time,Hybrid,Entry Level,Customer Service/Support,2.0,Giza,Egypt,7,Customer Service,Customer Support
Full Time,On-site,Entry Level,Customer Service/Support,1.5,Giza,Egypt,7,Marketing,Sales
Full Time,On-site,Entry Level,Accounting/Finance,1.5,Cairo,Egypt,2,Accounting,Finance
Full Time,On-site,Entry Level,Administration,1.0,Giza,Egypt,4,Administration,Customer Care
Full Time,On-site,Entry Level,Customer Service/Support,1.0,Cairo,Egypt,7,Communication,Computer Skills
Full Time,On-site,Manager,Installation/Maintenance/Repair,7.5,Cairo,Egypt,7,Engineering,Maintenance
Full Time,Hybrid,Experienced,IT/Software Development,6.5,Giza,Egypt,6,Cyber Security,Information Technology (IT)
Full Time,Hybrid,Experienced,IT/Software Development,6.5,Giza,Egypt,2,Java,Spring
Full Time,On-site,Entry Level,Logistics/Supply Chain,2.0,Cairo,Egypt,4,Procurement,Purchasing
Full Time,On-site,Experienced,Engineering - Construction/Civil/Architecture,5.0,Cairo,Egypt,8,Autodesk Revit,AutoCAD
Full Time,On-site,Experienced,Engineering - Construction/Civil/Architecture,6.0,Cairo,Egypt,8,civil 3d,total station
Full Time,On-site,Entry Level,Business Development,2.0,Giza,Egypt,3,Sales,Telesales
Internship,On-site,Entry Level,Engineering - Mechanical/Electrical,,Alexandria,Egypt,2,Electrical Engineering,Engineering
Full Time,On-site,Experienced,Engineering - Mechanical/Electrical,5.0,Beheira,Egypt,5,Engineering,Mechanical Engineering
Internship,On-site,Entry Level,Engineering - Mechanical/Electrical,,Alexandria,Egypt,4,Engineering,Mechanical Engineering
Full Time,On-site,Experienced,Marketing/PR/Advertising,5.0,Cairo,Egypt,8,B2B,B2B Marketing
Full Time,On-site,Experienced,IT/Software Development,3.0,Cairo,Egypt,8,Android developer,Software Development
Full Time,On-site,Experienced,Accounting/Finance,12.5,Giza,Egypt,7,Accounting,Finance
Full Time,Remote,Senior Management,Accounting/Finance,6.5,Cairo,Egypt,4,Accounting,Finance
Full Time,On-site,Senior Management,Education/Teaching,14.0,Giza,Egypt,2,Management,Teaching
Full Time,Remote,Senior Management,Creative/Design/Art,6.0,Cairo,Egypt,4,AI,Adobe Photoshop
Full Time,On-site,Entry Level,Administration,1.0,Cairo,Egypt,3,Office management,Communication
Full Time,On-site,Experienced,Accounting/Finance,3.0,Cairo,Egypt,7,Accounting,Finance
Full Time,On-site,Experienced,Accounting/Finance,3.5,Cairo,Egypt,8,Accounting,Treasury
Full Time,Hybrid,Experienced,Medical/Healthcare,3.0,Cairo,Egypt,8,Technology,Sales Target
Full Time,On-site,Manager,Marketing/PR/Advertising,7.5,Cairo,Egypt,8,Business Administration,Communication
Internship,On-site,Entry Level,Human Resources,,Cairo,Egypt,3,HR,Human Resources (HR)
Full Time,On-site,Experienced,Administration,7.5,Alexandria,Egypt,6,Administration,Office management
Full Time,On-site,Experienced,Business Development,5.0,Cairo,Egypt,7,Business Development,Marketing
Full Time,On-site,Experienced,Engineering - Construction/Civil/Architecture,5.0,Cairo,Egypt,8,Architecture,Engineering
Full Time,On-site,Experienced,Administration,5.0,Cairo,Egypt,8,Human Resources (HR),Microsoft Office Suite
Full Time,On-site,Entry Level,Business Development,1.5,Cairo,Egypt,7,Business Development,Sales
Full Time,On-site,Experienced,Education/Teaching,2.0,Giza,Egypt,8,Classroom Management,English
Full Time,On-site,Experienced,Engineering - Construction/Civil/Architecture,6.5,Cairo,Egypt,8,Architectural Design,Architecture
Full Time,Hybrid,Experienced,Human Resources,5.0,Cairo,Egypt,3,Talent management,OD
Full Time,On-site,Experienced,Creative/Design/Art,5.0,Cairo,Egypt,7,Graphic Design,Adobe Photoshop
Full Time,On-site,Entry Level,Administration,1.5,Cairo,Egypt,4,Digital Marketing,E-Marketing
Full Time,Hybrid,Entry Level,Customer Service/Support,1.5,Cairo,Egypt,8,Call Center,Customer Service
Full Time,On-site,Experienced,Business Development,4.0,Cairo,Egypt,7,Customer Care,Customer Service
Full Time,On-site,Manager,Engineering - Construction/Civil/Architecture,12.5,Matruh,Egypt,6,HSE,Management
Full Time,On-site,Entry Level,Sales/Retail,2.0,Giza,Egypt,8,Sales,Sales Target
Full Time,On-site,Entry Level,Administration,3.0,Sharqia,Egypt,7,Administration,Business Administration
Full Time,On-site,Experienced,Installation/Maintenance/Repair,4.0,Giza,Egypt,5,Maintenance,Maintenance Engineer
Full Time,On-site,Experienced,Creative/Design/Art,4.0,Cairo,Egypt,6,Adobe illustrator,Design
Full Time,On-site,Experienced,Engineering - Construction/Civil/Architecture,4.0,Cairo,Egypt,8,AutoCAD,Architecture
Full Time,On-site,Experienced,Accounting/Finance,3.5,Cairo,Egypt,7,Accounting,Accounts Payable
Full Time,On-site,Entry Level,Sales/Retail,1.5,Cairo,Egypt,8,Inside Sales,Sales
Full Time,On-site,Manager,Customer Service/Support,12.5,Sharqia,Egypt,8,Account Management,Business Development
Full Time,On-site,Experienced,Engineering - Construction/Civil/Architecture,2.0,Cairo,Egypt,8,Architecture,Technical Office
Full Time,On-site,Entry Level,Administration,2.0,Cairo,Egypt,6,Translation,Writing
Full Time,On-site,Experienced,Business Development,6.5,Cairo,Egypt,8,Human Resources (HR),Recruitment
Full Time,Hybrid,Experienced,Installation/Maintenance/Repair,8.5,Cairo,Egypt,7,Oracle,Oracle Database
Full Time,Hybrid,Experienced,IT/Software Development,6.5,Cairo,Egypt,8,Computer Science,CSS
Full Time,Hybrid,Experienced,Installation/Maintenance/Repair,5.0,Cairo,Egypt,7,Computer Science,Information Technology (IT)
Full Time,On-site,Experienced,Sales/Retail,4.0,Cairo,Egypt,8,Sales,Customer Service
Full Time,Hybrid,Experienced,Marketing/PR/Advertising,3.0,Cairo,Egypt,3,E-Marketing,Marketing
Full Time,On-site,Experienced,Administration,5.0,Cairo,Egypt,3,Administration,Microsoft Office
Full Time,On-site,Experienced,Customer Service/Support,4.0,Cairo,Egypt,4,Customer Service,Sales
Full Time,On-site,Experienced,Engineering - Construction/Civil/Architecture,5.0,Cairo,Egypt,6,Architecture,AutoCAD
Full Time,On-site,Entry Level,Purchasing/Procurement,0.5,Giza,Egypt,7,Purchasing,Procurement
Full Time,On-site,Experienced,Engineering - Other,5.0,Cairo,Egypt,3,Electrical Engineering,Technical Office Engineering
Full Time,On-site,Senior Management,Operations/Management,11.5,Giza,Egypt,8,Sales,Sales Target Achievement
Full Time,On-site,Experienced,Creative/Design/Art,3.0,Sharqia,Egypt,7,Adobe illustrator,Adobe Photoshop
Full Time,On-site,Senior Management,Business Development,17.5,Sharqia,Egypt,7,Business Development,Sales
Full Time,On-site,Experienced,Engineering - Construction/Civil/Architecture,4.0,Cairo,Egypt,6,Fire Alarm Systems,Maintenance Engineering
Full Time,On-site,Entry Level,Customer Service/Support,1.0,Cairo,Egypt,4,Call Center,Customer Care
Full Time,On-site,Experienced,Sales/Retail,4.5,Giza,Egypt,8,Sales,Sales Real Estate
Full Time,On-site,Manager,Human Resources,5.0,Giza,Egypt,8,Human Resources Management,Talent Acquisition
Full Time,On-site,Senior Management,Business Development,4.0,Cairo,Egypt,8,CRM,Communication
Full Time,On-site,Manager,Hospitality/Hotels/Food Services,5.0,Cairo,Egypt,5,Hospitality,Management
Full Time,On-site,Experienced,Accounting/Finance,7.0,Cairo,Egypt,7,Accounting,Accounts Payable
Full Time,On-site,Experienced,Accounting/Finance,4.0,Cairo,Egypt,5,Accounting,Budgeting
Full Time,On-site,Manager,Hospitality/Hotels/Food Services,4.5,Cairo,Egypt,7,Customer Service,Customer Care
Full Time,On-site,Experienced,Accounting/Finance,10.0,Giza,Egypt,4,Accounting,Finance
Full Time,On-site,Manager,Manufacturing/Production,7.5,Cairo,Egypt,7,Sales,Knitting machines sales
Full Time,On-site,Experienced,Engineering - Construction/Civil/Architecture,3.0,Cairo,Egypt,7,Technical Office,AutoCAD
Full Time,On-site,Experienced,Accounting/Finance,5.0,Cairo,Egypt,3,Accounting,Finance
Full Time,On-site,Experienced,Logistics/Supply Chain,5.0,Qalubia,Egypt,3,Logistics,Supply Chain
Full Time,On-site,Entry Level,Quality,1.0,Cairo,Egypt,8,Quality Control,Quality Assurance
Full Time,On-site,Entry Level,Customer Service/Support,2.0,Cairo,Egypt,7,English,Automotive
Full Time,On-site,Experienced,Tourism/Travel,5.0,Giza,Egypt,8,Call Center,Customer Service
Full Time,Hybrid,Experienced,Marketing/PR/Advertising,3.5,Cairo,Egypt,8,Sales,Outdoor Sales
